sub,sov,cond,trial_amount
11,N2EliwJKc,T_prevlow_1,2
13,N2EliwJKc,T_prevlow_1,19
14,N2EliwJKc,T_prevlow_1,2
15,N2EliwJKc,T_prevlow_1,7
16,N2EliwJKc,T_prevlow_1,22
17,N2EliwJKc,T_prevlow_1,8
19,N2EliwJKc,T_prevlow_1,7
20,N2EliwJKc,T_prevlow_1,3
21,N2EliwJKc,T_prevlow_1,9
23,N2EliwJKc,T_prevlow_1,3
24,N2EliwJKc,T_prevlow_1,5
25,N2EliwJKc,T_prevlow_1,3
26,N2EliwJKc,T_prevlow_1,5
27,N2EliwJKc,T_prevlow_1,3
28,N2EliwJKc,T_prevlow_1,10
29,N2EliwJKc,T_prevlow_1,7
30,N2EliwJKc,T_prevlow_1,7
31,N2EliwJKc,T_prevlow_1,3
32,N2EliwJKc,T_prevlow_1,4
33,N2EliwJKc,T_prevlow_1,6
34,N2EliwJKc,T_prevlow_1,10
35,N2EliwJKc,T_prevlow_1,5
36,N2EliwJKc,T_prevlow_1,2
37,N2EliwJKc,T_prevlow_1,7
38,N2EliwJKc,T_prevlow_1,11
01,N2EliwJKc,T_prevlow_2,2
02,N2EliwJKc,T_prevlow_2,5
03,N2EliwJKc,T_prevlow_2,6
04,N2EliwJKc,T_prevlow_2,1
08,N2EliwJKc,T_prevlow_2,3
09,N2EliwJKc,T_prevlow_2,4
10,N2EliwJKc,T_prevlow_2,3
11,N2EliwJKc,T_prevlow_2,6
13,N2EliwJKc,T_prevlow_2,10
14,N2EliwJKc,T_prevlow_2,2
15,N2EliwJKc,T_prevlow_2,10
16,N2EliwJKc,T_prevlow_2,16
17,N2EliwJKc,T_prevlow_2,8
19,N2EliwJKc,T_prevlow_2,10
20,N2EliwJKc,T_prevlow_2,7
21,N2EliwJKc,T_prevlow_2,4
23,N2EliwJKc,T_prevlow_2,4
24,N2EliwJKc,T_prevlow_2,6
25,N2EliwJKc,T_prevlow_2,2
26,N2EliwJKc,T_prevlow_2,3
27,N2EliwJKc,T_prevlow_2,2
28,N2EliwJKc,T_prevlow_2,3
29,N2EliwJKc,T_prevlow_2,4
30,N2EliwJKc,T_prevlow_2,5
31,N2EliwJKc,T_prevlow_2,2
32,N2EliwJKc,T_prevlow_2,2
33,N2EliwJKc,T_prevlow_2,8
34,N2EliwJKc,T_prevlow_2,3
35,N2EliwJKc,T_prevlow_2,3
36,N2EliwJKc,T_prevlow_2,3
37,N2EliwJKc,T_prevlow_2,10
38,N2EliwJKc,T_prevlow_2,7
01,N2EliwJKc,T_prevlow_3,0
02,N2EliwJKc,T_prevlow_3,3
03,N2EliwJKc,T_prevlow_3,8
04,N2EliwJKc,T_prevlow_3,3
08,N2EliwJKc,T_prevlow_3,0
09,N2EliwJKc,T_prevlow_3,2
10,N2EliwJKc,T_prevlow_3,4
11,N2EliwJKc,T_prevlow_3,5
13,N2EliwJKc,T_prevlow_3,8
14,N2EliwJKc,T_prevlow_3,0
15,N2EliwJKc,T_prevlow_3,3
16,N2EliwJKc,T_prevlow_3,5
17,N2EliwJKc,T_prevlow_3,2
19,N2EliwJKc,T_prevlow_3,5
20,N2EliwJKc,T_prevlow_3,2
21,N2EliwJKc,T_prevlow_3,4
23,N2EliwJKc,T_prevlow_3,2
24,N2EliwJKc,T_prevlow_3,5
25,N2EliwJKc,T_prevlow_3,2
26,N2EliwJKc,T_prevlow_3,0
27,N2EliwJKc,T_prevlow_3,3
