sub,sov,cond,trial_amount
33,N2,T4079_3,117
34,N2,T4079_3,58
35,N2,T4079_3,60
36,N2,T4079_3,41
37,N2,T4079_3,62
38,N2,T4079_3,82
02,N2,T5302_3,41
03,N2,T5302_3,74
04,N2,T5302_3,61
08,N2,T5302_3,69
09,N2,T5302_3,86
10,N2,T5302_3,83
11,N2,T5302_3,52
13,N2,T5302_3,87
14,N2,T5302_3,23
15,N2,T5302_3,93
16,N2,T5302_3,90
17,N2,T5302_3,52
19,N2,T5302_3,101
20,N2,T5302_3,82
21,N2,T5302_3,96
23,N2,T5302_3,62
24,N2,T5302_3,106
25,N2,T5302_3,94
26,N2,T5302_3,33
27,N2,T5302_3,37
28,N2,T5302_3,95
29,N2,T5302_3,72
30,N2,T5302_3,126
31,N2,T5302_3,93
32,N2,T5302_3,68
33,N2,T5302_3,123
34,N2,T5302_3,64
35,N2,T5302_3,64
36,N2,T5302_3,58
37,N2,T5302_3,56
38,N2,T5302_3,95
02,N2,T650_4,44
03,N2,T650_4,66
04,N2,T650_4,60
08,N2,T650_4,65
09,N2,T650_4,83
10,N2,T650_4,87
11,N2,T650_4,60
13,N2,T650_4,86
14,N2,T650_4,22
15,N2,T650_4,94
16,N2,T650_4,92
17,N2,T650_4,50
19,N2,T650_4,93
20,N2,T650_4,82
21,N2,T650_4,91
23,N2,T650_4,67
24,N2,T650_4,104
25,N2,T650_4,82
26,N2,T650_4,27
27,N2,T650_4,33
28,N2,T650_4,100
29,N2,T650_4,79
30,N2,T650_4,118
31,N2,T650_4,89
32,N2,T650_4,64
33,N2,T650_4,120
34,N2,T650_4,64
35,N2,T650_4,66
36,N2,T650_4,55
37,N2,T650_4,61
38,N2,T650_4,88
02,N2,T845_4,45
03,N2,T845_4,69
04,N2,T845_4,63
08,N2,T845_4,71
09,N2,T845_4,82
10,N2,T845_4,83
11,N2,T845_4,55
13,N2,T845_4,87
14,N2,T845_4,26
15,N2,T845_4,92
16,N2,T845_4,91
17,N2,T845_4,53
19,N2,T845_4,100
20,N2,T845_4,85
21,N2,T845_4,94
23,N2,T845_4,65
24,N2,T845_4,113
25,N2,T845_4,93
26,N2,T845_4,31
27,N2,T845_4,38
28,N2,T845_4,95
29,N2,T845_4,74
30,N2,T845_4,117
31,N2,T845_4,84
32,N2,T845_4,68
33,N2,T845_4,116
34,N2,T845_4,61
35,N2,T845_4,64
36,N2,T845_4,55
37,N2,T845_4,55
38,N2,T845_4,88
02,N2,T1098_4,52
03,N2,T1098_4,73
04,N2,T1098_4,58
08,N2,T1098_4,65
09,N2,T1098_4,84
10,N2,T1098_4,80
11,N2,T1098_4,59
13,N2,T1098_4,89
14,N2,T1098_4,24
15,N2,T1098_4,93
16,N2,T1098_4,92
17,N2,T1098_4,54
19,N2,T1098_4,107
20,N2,T1098_4,78
21,N2,T1098_4,95
23,N2,T1098_4,65
24,N2,T1098_4,106
25,N2,T1098_4,88
26,N2,T1098_4,34
27,N2,T1098_4,36
28,N2,T1098_4,99
29,N2,T1098_4,76
30,N2,T1098_4,124
31,N2,T1098_4,90
32,N2,T1098_4,66
33,N2,T1098_4,114
34,N2,T1098_4,59
35,N2,T1098_4,67
36,N2,T1098_4,56
37,N2,T1098_4,61
38,N2,T1098_4,91
02,N2,T1428_4,47
03,N2,T1428_4,78
04,N2,T1428_4,57
08,N2,T1428_4,67
09,N2,T1428_4,84
10,N2,T1428_4,83
11,N2,T1428_4,56
13,N2,T1428_4,89
14,N2,T1428_4,29
15,N2,T1428_4,94
16,N2,T1428_4,86
17,N2,T1428_4,51
19,N2,T1428_4,100
20,N2,T1428_4,86
21,N2,T1428_4,86
23,N2,T1428_4,63
24,N2,T1428_4,113
25,N2,T1428_4,88
